SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,10,8,,2018-04-02 01:12:52,,,C:\Users\jcloudy\Desktop\Sheep.jpg,2,False,,,,,2018-03-30 03:32:40,2018-03-30 03:32:40,2018-03-30 03:32:34,11073,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Sheep.jpg,,My Computer\C:\Users\jcloudy\Desktop\Sheep.jpg,0x22D31,0xB,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,11,6,,2018-04-02 01:12:41,,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg,2,False,,,,,2018-03-30 03:29:20,2018-03-30 03:29:20,2018-03-30 03:29:02,43525,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\HoldMyTidePod.jpg,,My Computer\Desktop\HoldMyTidePod.jpg,0x22CF1,0x7,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,12,E,,2018-04-02 01:10:19,,,C:\Users\jcloudy\Desktop\DeathToll.jpg,2,False,,,,,2018-03-31 04:16:22,2018-03-31 04:16:22,2018-03-31 04:16:11,61596,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DeathToll.jpg,,My Computer\C:\Users\jcloudy\Desktop\DeathToll.jpg,0xA55D,0x6,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,13,11,,2018-03-31 04:23:25,,,C:\Users\jcloudy\Desktop\Huckleberry.png,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Huckleberry.png,,My Computer\C:\Users\jcloudy\Desktop\Huckleberry.png,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,14,10,,2018-03-31 04:19:35,,,C:\Users\jcloudy\Desktop\DemLogic.jpg,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DemLogic.jpg,,My Computer\C:\Users\jcloudy\Desktop\DemLogic.jpg,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,15,F,,2018-03-31 04:16:59,,,C:\Users\jcloudy\Desktop\RedGuns.jpg,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\RedGuns.jpg,,My Computer\C:\Users\jcloudy\Desktop\RedGuns.jpg,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,16,D,,2018-03-31 04:15:53,,,C:\Users\jcloudy\Desktop\BladeofGrass.jpg,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\BladeofGrass.jpg,,My Computer\C:\Users\jcloudy\Desktop\BladeofGrass.jpg,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,17,C,,2018-03-30 21:22:55,,,C:\Users\jcloudy\Desktop\CubaDearmed.jpg,1,False,,,,,2018-03-30 21:22:55,2018-03-30 21:22:56,2018-03-30 21:22:40,83378,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\CubaDearmed.jpg,,My Computer\Desktop\CubaDearmed.jpg,0x0,,desktop-pm6c56d,28:e3:47:01:77:77,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,18,9,,2018-03-30 03:33:50,,,C:\Users\jcloudy\Desktop\DarkWolf.png,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DarkWolf.png,,My Computer\C:\Users\jcloudy\Desktop\DarkWolf.png,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,19,7,,2018-03-30 03:31:10,,,C:\Users\jcloudy\Desktop\MyTiredHead.jpg,1,False,,,,,,,,0,,,0,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\MyTiredHead.jpg,,My Computer\C:\Users\jcloudy\Desktop\MyTiredHead.jpg,0x0,,,,,PropertyStoreDataBlock,,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,20,2,2018-03-27 12:13:12,2018-03-27 09:51:12,敤歳潴⵰浰挶㘵d,ec:f4:bb:48:7f:ed,C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf,1,False,3869cd90-31b8-11e8-9b12-ecf4bb487fed,3869cd90-31b8-11e8-9b12-ecf4bb487fed,bc7539be-7b5b-4e04-9f8d-1c0d9b3aff21,bc7539be-7b5b-4e04-9f8d-1c0d9b3aff21,2018-03-27 09:50:14,2018-03-03 08:03:14,2018-03-27 09:50:15,398083,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf,,My Computer\C:\Users\jcloudy\OneDrive\Getting started with OneDrive.pdf,0x16E37,0x2,desktop-pm6c56d,ec:f4:bb:48:7f:ed,2018-03-27 12:13:12,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
C:\484\Lab5\Lab5\5f7b5f1e01b83767.automaticDestinations-ms,2021-10-06 00:54:36,2018-04-06 12:27:08,2021-10-06 01:21:50,5f7b5f1e01b83767,Quick Access,4,25,21,1,,2018-03-27 09:23:14,,,D:\key.txt,1,False,,,,,2018-03-22 03:05:22,2018-03-22 03:05:24,2018-03-22 03:05:24,183,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink","Removable storage media (Floppy, USB)",4C36F4AC,CloudLog,D:\key.txt,,My Computer\D:\key.txt,0x318200,,,,,PropertyStoreDataBlock,,
